a	(-AH_)
revolvers	(R-IH_)(V-AA_L)(V-ER_Z)
revolves	(R-IY_)(V-AA_LVZ)
revolving	(R-IY_)(V-AA_L)(V-IH_NG)
revord	(R-IH_)(V-AO_RD)
revs	(R-EH_VZ)
revson	(R-EH_V)(S-AH_N)
revue	(R-IH_)(VY-UW_)
revuelta	(R-AH_V)(W-EH_L)(T-AH_)
revues	(R-IH_)(VY-UW_Z)
revulsion	(R-IH_)(V-AH_L)(SH-AH_N)
revved	(R-EH_VD)
revving	(R-EH_)(V-IH_NG)
revzin	(R-EH_V)(Z-IH_N)
rew	(R-UW_)
reward	(R-IH_)(W-AO_RD)
rewarded	(R-IH_)(W-AO_R)(D-IH_D)
rewarding	(R-IH_)(W-AO_R)(D-IH_NG)
rewards	(R-IH_)(W-AO_RDZ)
rewatching	(R-IY_)(W-AA_)(CH-IH_NG)
rewerts	(R-UW_)(-ER_TS)
rewey	(R-UW_)(-IY_)
rewind	(R-IY_)(W-AY_ND)
rewire	(R-IY_)(W-AY_)(-ER_)
rewired	(R-IY_)(W-AY_)(-ER_D)
rewiring	(R-IY_)(W-AY_)(-ER_)(-IH_NG)
rewis	(R-UW_)(-IH_S)
reword	(R-IY_)(W-ER_D)
rework	(R-IY_)(W-ER_K)
reworked	(R-IY_)(W-ER_KT)
reworking	(R-IY_)(W-ER_)(K-IH_NG)
rewrite	(R-IY_)(R-AY_T)
rewrites	(R-IY_)(R-AY_TS)
rewriting	(R-IY_)(R-AY_)(T-IH_NG)
rewritten	(R-IY_)(R-IH_)(T-AH_N)
rewrote	(R-IY_)(R-OW_T)
rex	(R-EH_KS)
rexall	(R-EH_K)(S-AO_L)
rexana	(R-IH_G)(Z-AE_)(N-AH_)
rexene	(R-EH_K)(S-IY_N)
rexford	(R-EH_K)(SF-ER_D)
rexham	(R-EH_K)(S-AH_M)
rexnord	(R-EH_K)(SN-AO_RD)
rexon	(R-EH_K)(S-AH_N)
rexroad	(R-EH_KS)(R-OW_D)
rexroat	(R-EH_KS)(R-OW_T)
rexrode	(R-EH_KS)(R-OW_D)
rexrodt	(R-EH_KS)(R-OW_D)
rexroth	(R-EH_KS)(R-AA_TH)
rey	(R-EY_)
reyburn	(R-EY_)(B-ER_N)
reycraft	(R-EY_)(KR-AE_FT)
reyer	(R-EY_)(-ER_)
reyes	(R-EY_)(-IH_S)
reykjavik	(R-EH_)(KY-AH_)(V-IH_K)
reyman	(R-EY_)(M-AH_N)
reyna	(R-EY_)(N-AH_)
reynaga	(R-IY_)(N-AA_)(G-AH_)
reynaldo	(R-EY_)(N-AA_L)(D-OW_)
reynard	(R-EY_)(N-ER_D)
reynaud	(R-EY_)(N-AO_D)
reynold	(R-EH_)(N-AH_LD)
reynolds	(R-EH_)(N-AH_LDZ)
reynoldson	(R-EY_)(N-OW_LD)(S-AH_N)
reynosa	(R-IY_)(N-OW_)(S-AH_)
reynoso	(R-IY_)(N-OW_)(S-OW_)
reza	(R-EH_)(Z-AH_)
rezabek	(R-IH_)(Z-AA_)(B-EH_K)
rezac	(R-EH_)(Z-AH_K)
rezek	(R-EH_)(Z-EH_K)
rezendes	(R-EY_)(Z-EY_N)(D-EH_S)
reznicek	(R-EH_Z)(N-IH_)(CH-EH_K)
reznick	(R-EH_Z)(N-IH_K)
reznik	(R-EH_Z)(N-IH_K)
rezoning	(R-IY_)(Z-OW_)(N-IH_NG)
rha	(R-AA_)
rhame	(R-EY_M)
rhames	(R-EY_MZ)
rhapsodic	(R-AE_P)(S-AA_)(D-IH_K)
rhapsodize	(R-AE_P)(S-AH_)(D-AY_Z)
rhapsodizes	(R-AE_P)(S-AH_)(D-AY_)(Z-IH_Z)
rhapsody	(R-AE_P)(S-AH_)(D-IY_)
rhea	(R-IY_)(-AH_)
rheault	(R-OW_)
rheaume	(R-UW_M)
rhee	(R-IY_)
rheem	(R-IY_M)
rhein	(R-AY_N)
rheingold	(R-AY_N)(G-OW_LD)
rheinisch	(R-AY_)(N-IH_SH)
rheinstein	(R-AY_N)(ST-AY_N)
rhem	(R-EH_M)
rhesus	(R-IY_)(S-AH_S)
rheta	(R-IY_)(T-AH_)
rhetoric	(R-EH_)(T-ER_)(-IH_K)
rhetorical	(R-IH_)(T-AO_)(R-IH_)(K-AH_L)
rhetorically	(R-AH_)(T-AO_)(R-IH_)(KL-IY_)
rhetorician	(R-EH_)(T-ER_)(-IH_)(SH-AH_N)
rhetoricians	(R-EH_)(T-ER_)(-IH_)(SH-AH_NZ)
rhett	(R-EH_T)
rheumatic	(R-UW_)(M-AE_)(T-IH_K)
rheumatism	(R-UW_)(M-AH_)(T-IH_)(Z-AH_M)
rheumatoid	(R-UW_)(M-AH_)(T-OY_D)
rheumatologist	(R-UW_)(M-AH_)(T-AA_)(L-AH_)(JH-AH_ST)
rheumatology	(R-UW_)(M-AH_)(T-AA_)(L-AH_)(JH-IY_)
rhew	(R-UW_)
rhin	(R-IH_N)
rhine	(R-AY_N)
rhinehardt	(R-AY_N)(HH-AA_RT)
rhinehart	(R-AY_N)(HH-AA_RT)
rhineland	(R-AY_N)(L-AE_ND)
rhineman	(R-AY_N)(M-AH_N)
rhines	(R-AY_NZ)
rhinesmith	(R-AY_N)(SM-IH_TH)
rhinestone	(R-AY_N)(ST-OW_N)
rhinestones	(R-AY_N)(ST-OW_NZ)
rhino	(R-AY_)(N-OW_)
rhinoceros	(R-AY_)(N-AA_)(S-ER_)(-AH_S)
rhinos	(R-AY_)(N-OW_Z)
rhizoid	(R-AY_)(Z-OY_D)
rhizoidal	(R-AY_)(Z-OY_)(D-AH_L)
rhizome	(R-AY_)(Z-OW_M)
rhizomes	(R-AY_)(Z-OW_MZ)
rho	(R-OW_)
rhoad	(R-OW_D)
rhoades	(R-OW_DZ)
rhoads	(R-OW_DZ)
rhoda	(R-OW_)(D-AH_)
rhodanthe	(R-OW_)(D-AE_NTH)
rhode	(R-OW_D)
rhoden	(R-OW_)(D-AH_N)
rhodes	(R-OW_DZ)
rhodesia	(R-OW_)(D-IY_)(ZH-AH_)
rhodesian	(R-OW_)(D-IY_)(ZH-AH_N)
rhodia	(R-OW_)(D-IY_)(-AH_)
rhodies	(R-OW_)(D-IY_Z)
rhodium	(R-OW_)(D-IY_)(-AH_M)
rhododendron	(R-OW_)(D-AH_)(D-EH_N)(DR-AH_N)
rhodopsin	(R-OW_)(D-AA_P)(S-AH_N)
rhodus	(R-OW_)(D-AH_S)
rhody	(R-OW_)(D-IY_)
rhome	(R-OW_M)
rhonda	(R-AA_N)(D-AH_)
rhone	(R-OW_N)
rhoney	(R-OW_)(N-IY_)
rhorer	(R-AO_)(R-ER_)
rhoten	(R-OW_)(T-AH_N)
rhoto	(R-OW_)(T-OW_)
rhoton	(R-OW_)(T-AH_N)
rhubarb	(R-UW_)(B-AA_RB)
rhude	(R-UW_D)
rhudy	(R-UW_)(D-IY_)
rhue	(R-UW_)
rhule	(R-UW_L)
rhyme	(R-AY_M)
rhymed	(R-AY_MD)
rhymer	(R-AY_)(M-ER_)
rhymes	(R-AY_MZ)
rhyming	(R-AY_)(M-IH_NG)
rhyne	(R-AY_N)
rhyner	(R-AY_)(N-ER_)
rhynes	(R-AY_NZ)
rhythm	(R-IH_)(DH-AH_M)
rhythmic	(R-IH_DH)(M-IH_K)
rhythmically	(R-IH_DH)(M-IH_)(KL-IY_)
rhythms	(R-IH_)(DH-AH_MZ)
ria	(R-IY_)(-AH_)
riad	(R-IY_)(-AA_D)
riady	(R-IY_)(-AA_)(D-IY_)
riadys	(R-IY_)(-AA_)(D-IY_Z)
rial	(R-AY_)(-AH_L)
rials	(R-AY_LZ)
rib	(R-IH_B)
riba	(R-IY_)(B-AH_)
ribald	(R-AY_)(B-AA_LD)
ribaldry	(R-AY_)(B-AA_L)(DR-IY_)
ribar	(R-IH_)(B-AA_R)
ribas	(R-AY_)(B-AH_Z)
ribaudo	(R-IY_)(B-AO_)(D-OW_)
ribavirin	(R-IH_)(B-AE_)(V-IH_)(R-IH_N)
ribbed	(R-IH_BD)
ribbing	(R-IH_)(B-IH_NG)
ribbit	(R-IH_)(B-IH_T)
ribble	(R-IH_)(B-AH_L)
ribbon	(R-IH_)(B-AH_N)
ribbons	(R-IH_)(B-AH_NZ)
ribeiro	(R-IY_)(B-EH_)(R-OW_)
ribera	(R-IY_)(B-EH_)(R-AH_)
ribi	(R-IY_)(B-IY_)
ribicoff	(R-IH_)(B-IH_)(K-AO_F)
ribka	(R-IH_B)(K-AH_)
ribs	(R-IH_BZ)
ric	(R-IH_K)
rica	(R-IY_)(K-AH_)
ricadonna	(R-IY_)(K-AA_)(D-OW_)(N-AH_)
rican	(R-IY_)(K-AH_N)
ricans	(R-IH_)(K-AH_NZ)
ricard	(R-IH_)(K-AA_RD)
ricardo	(R-IH_)(K-AA_R)(D-OW_)
ricaurte	(R-AH_)(K-AA_R)(T-EY_)
ricca	(R-IY_)(K-AH_)
riccardi	(R-IY_)(K-AA_R)(D-IY_)
riccardo	(R-IH_)(K-AA_R)(D-OW_)
ricci	(R-IY_)(CH-IY_)
ricciardelli	(R-IY_)(CH-ER_)(D-EH_)(L-IY_)
ricciardi	(R-IY_)(CH-AA_R)(D-IY_)
riccio	(R-IY_)(CH-IY_)(-OW_)
riccitelli	(R-IY_)(CH-IY_)(T-EH_)(L-IY_)
ricciuti	(R-IY_K)(CH-UW_)(T-IY_)
ricco	(R-IH_)(K-OW_)
riccobono	(R-IY_)(K-OW_)(B-OW_)(N-OW_)
rice	(R-AY_S)
riceville	(R-AY_S)(V-IH_L)
rich	(R-IH_CH)
richa	(R-IH_)(CH-AH_)
richard	(R-IH_)(CH-ER_D)
richards	(R-IH_)(CH-ER_DZ)
richardson	(R-IH_)(CH-ER_D)(S-AH_N)
richardsonsmith	(R-IH_)(CH-ER_D)(S-AH_N)(SM-IH_TH)
richardt	(R-IH_)(K-AA_RT)
richarson	(R-IH_)(CH-AA_R)(S-AH_N)
richart	(R-IH_K)(HH-AA_RT)
richaud	(R-IH_)(SH-OW_D)
richbourg	(R-IH_CH)(B-AO_RG)
richburg	(R-IH_CH)(B-ER_G)
richco	(R-IH_)(K-OW_)
richcreek	(R-IH_CH)(KR-IY_K)
riche	(R-IH_CH)
richelieu	(R-IH_)(SH-AH_)(L-UW_)
richelson	(R-IH_)(CH-AH_L)(S-AH_N)
richemont	(R-IH_)(CH-AH_)(M-AA_NT)
richenthal	(R-IH_)(K-AH_N)(TH-AO_L)
richer	(R-IH_)(CH-ER_)
richerd	(R-IH_)(CH-ER_D)
richerson	(R-IH_)(CH-ER_)(S-AH_N)
richert	(R-IH_)(K-ER_T)
riches	(R-IH_)(CH-AH_Z)
richesin	(R-IH_)(K-IH_)(S-IH_N)
richeson	(R-IH_)(K-IH_)(S-AH_N)
richest	(R-IH_)(CH-AH_ST)
richey	(R-IH_)(CH-IY_)
richfield	(R-IH_CH)(F-IY_LD)
richford	(R-IH_CH)(F-ER_D)
richie	(R-IH_)(CH-IY_)
richins	(R-IH_)(K-IH_NZ)
richison	(R-IH_)(CH-IH_)(S-AH_N)
richland	(R-IH_CH)(L-AH_ND)
richly	(R-IH_CH)(L-IY_)
richman	(R-IH_CH)(M-AE_N)
richmond	(R-IH_CH)(M-AH_ND)
richner	(R-IH_K)(N-ER_)
richness	(R-IH_CH)(N-AH_S)
richoux	(R-IH_)(SH-UW_)
richstone	(R-IH_CH)(ST-OW_N)
richter	(R-IH_K)(T-ER_)
richton	(R-IH_CH)(T-AH_N)
richts	(R-IH_KTS)
richwhite	(R-IH_CH)(W-AY_T)
richwine	(R-IH_CH)(W-AY_N)
ricigliano	(R-IH_)(S-IH_)(GL-IY_)(-AA_)(N-OW_)
rick	(R-IH_K)
rickabaugh	(R-IH_)(K-AH_)(B-AO_)
rickard	(R-IH_)(K-ER_D)
rickards	(R-IH_)(K-ER_DZ)
ricke	(R-IH_K)
rickel	(R-IH_)(K-AH_L)
rickels	(R-IH_)(K-AH_LZ)
ricken	(R-IH_)(K-AH_N)
rickenbach	(R-IH_)(K-IH_N)(B-AA_K)
rickenbaker	(R-IH_)(K-IH_N)(B-AH_)(K-ER_)
ricker	(R-IH_)(K-ER_)
rickers	(R-IH_)(K-ER_Z)
rickerson	(R-IH_)(K-ER_)(S-AH_N)
rickert	(R-IH_)(K-ER_T)
rickets	(R-IH_)(K-IH_TS)
ricketson	(R-IH_)(K-IH_T)(S-AH_N)
rickett	(R-IH_)(K-IH_T)
ricketts	(R-IH_)(K-IH_TS)
rickety	(R-IH_)(K-AH_)(T-IY_)
rickey	(R-IH_)(K-IY_)
ricki	(R-IH_)(K-IY_)
rickie	(R-IH_)(K-IY_)
ricklefs	(R-IH_)(KL-IH_FS)
rickles	(R-IH_)(K-AH_LZ)
rickman	(R-IH_K)(M-AH_N)
rickner	(R-IH_K)(N-ER_)
ricks	(R-IH_KS)
rickson	(R-IH_K)(S-AH_N)
rickward	(R-IH_)(KW-ER_D)
rickwood	(R-IH_)(KW-UH_D)
ricky	(R-IH_)(K-IY_)
rico	(R-IY_)(K-OW_)
ricochet	(R-IH_)(K-AH_)(SH-EY_)
ricocheted	(R-IH_)(K-AH_)(SH-EY_D)
ricocheting	(R-IH_)(K-AH_)(SH-EY_)(-IH_NG)
ricoh	(R-IY_)(K-OW_)
ricostruzione	(R-IY_)(K-OW_)(STR-UW_)(Z-IY_)(-OW_)(N-IY_)
rid	(R-IH_D)
ridable	(R-AY_)(D-AH_)(B-AH_L)
riddance	(R-IH_)(D-AH_NS)
riddell	(R-IH_)(D-AH_L)
ridden	(R-IH_)(D-AH_N)
ridder	(R-IH_)(D-ER_)
riddick	(R-IH_)(D-IH_K)
ridding	(R-IH_)(D-IH_NG)
riddle	(R-IH_)(D-AH_L)
riddled	(R-IH_)(D-AH_LD)
riddler	(R-IH_D)(L-ER_)
riddles	(R-IH_)(D-AH_LZ)
riddock	(R-IH_)(D-AH_K)
ride	(R-AY_D)
rideau	(R-IH_)(D-OW_)
rideaux	(R-IH_)(D-OW_)
riden	(R-AY_)(D-AH_N)
ridener	(R-IH_)(D-IY_)(N-ER_)
ridenhour	(R-IH_)(D-IH_)(N-AW_R)
ridenour	(R-IH_)(D-IH_)(N-UH_R)
rideout	(R-AY_)(D-AW_T)
rider	(R-AY_)(D-ER_)
riders	(R-AY_)(D-ER_Z)
ridership	(R-AY_)(D-ER_)(SH-IH_P)
rides	(R-AY_DZ)
ridge	(R-IH_JH)
ridgecrest	(R-IH_JH)(KR-EH_ST)
ridged	(R-IH_JHD)
ridgefield	(R-IH_JH)(F-IY_LD)
ridgell	(R-IH_)(JH-AH_L)
ridgely	(R-IH_JH)(L-IY_)
ridges	(R-IH_)(JH-AH_Z)
ridgeway	(R-IH_JH)(W-EY_)
ridgewood	(R-IH_JH)(W-UH_D)
ridgley	(R-IH_JH)(L-IY_)
ridgway	(R-IH_JH)(W-EY_)
ridicule	(R-IH_)(D-AH_)(KY-UW_L)
ridiculed	(R-IH_)(D-AH_)(KY-UW_LD)
ridicules	(R-IH_)(D-AH_)(KY-UW_LZ)
ridiculing	(R-IH_)(D-AH_)(KY-UW_)(L-IH_NG)
ridiculous	(R-IH_)(D-IH_)(KY-AH_)(L-AH_S)
ridiculously	(R-AH_)(D-IH_)(KY-AH_)(L-AH_)(SL-IY_)
riding	(R-AY_)(D-IH_NG)
ridinger	(R-AY_)(D-IH_N)(G-ER_)
ridings	(R-AY_)(D-IH_NGZ)
ridley	(R-IH_D)(L-IY_)
ridling	(R-IH_D)(L-IH_NG)
ridlon	(R-IH_D)(L-AH_N)
ridner	(R-IH_D)(N-ER_)
ridolfi	(R-IY_)(D-OW_L)(F-IY_)
ridout	(R-IH_)(D-AW_T)
ridpath	(R-IH_D)(P-AE_TH)
rids	(R-IH_DZ)
riebe	(R-IY_B)
riebel	(R-IY_)(B-AH_L)
rieben	(R-IY_)(B-AH_N)
rieber	(R-IY_)(B-ER_)
riebman	(R-IY_B)(M-AH_N)
riechers	(R-IY_)(K-ER_Z)
rieck	(R-IY_K)
riecke	(R-IY_K)
ried	(R-IY_D)
riede	(R-IY_D)
riedel	(R-IY_)(D-AH_L)
rieder	(R-IY_)(D-ER_)
riederer	(R-IY_)(D-ER_)(-ER_)
rieders	(R-IY_)(D-ER_Z)
riedesel	(R-IY_)(D-IH_)(S-AH_L)
riedl	(R-IY_)(D-AH_L)
riedlinger	(R-IY_)(D-AH_)(L-IH_N)(G-ER_)
riedy	(R-IY_)(D-IY_)
rief	(R-IY_F)
rieg	(R-IY_G)
riege	(R-IY_JH)
riegel	(R-IY_)(G-AH_L)
rieger	(R-IY_)(G-ER_)
riegert	(R-IY_)(G-ER_T)
riegle	(R-IY_)(G-AH_L)
riegler	(R-IY_)(GL-ER_)
riehl	(R-IY_L)
riehle	(R-IY_)(HH-AH_L)
riehm	(R-IY_M)
riek	(R-IY_K)
rieke	(R-IY_K)
rieken	(R-IY_)(K-AH_N)
rieker	(R-IY_)(K-ER_)
riel	(R-IY_L)
rielly	(R-IY_)(L-IY_)
riely	(R-IY_)(L-IY_)
rieman	(R-IY_)(M-AH_N)
riemann	(R-IY_)(M-AH_N)
riemenschneider	(R-IY_)(M-IH_NSH)(N-AY_)(D-ER_)
riemer	(R-IY_)(M-ER_)
riemersma	(R-IY_)(M-EH_R)(SM-AH_)
riendeau	(R-AH_N)(D-OW_)
rienstra	(R-IY_N)(STR-AH_)
riepe	(R-IY_P)
riera	(R-IY_)(R-AH_)
rierson	(R-IY_R)(S-AH_N)
ries	(R-AY_Z)
riesberg	(R-IY_S)(B-ER_G)
riese	(R-IY_Z)
riesen	(R-IY_)(S-AH_N)
riesenberg	(R-IY_)(S-AH_N)(B-ER_G)
rieser	(R-IY_)(S-ER_)
riesh	(R-AY_SH)
riesling	(R-IY_Z)(L-IH_NG)
riess	(R-IY_S)
riester	(R-AY_)(-IH_)(ST-ER_)
riesterer	(R-IY_)(ST-ER_)(-ER_)
rieth	(R-AY_)(-IH_TH)
rietveld	(R-IY_T)(V-IH_LD)
rietz	(R-IY_TS)
rieves	(R-IY_VZ)
rife	(R-AY_F)
rifenburgh	(R-IH_)(F-AH_N)(B-ER_G)
riff	(R-IH_F)
riffe	(R-IH_F)
riffel	(R-IH_)(F-AH_L)
riffey	(R-IH_)(F-IY_)
riffle	(R-IH_)(F-AH_L)
riffraff	(R-IH_)(FR-AE_F)
riffs	(R-IH_FS)
rifkin	(R-IH_F)(K-IH_N)
rifkind	(R-IH_F)(K-IH_ND)
rifle	(R-AY_)(F-AH_L)
rifled	(R-AY_)(F-AH_LD)
rifleman	(R-AY_)(F-AH_L)(M-AH_N)
riflery	(R-AY_)(F-AH_L)(R-IY_)
rifles	(R-AY_)(F-AH_LZ)
rifling	(R-AY_)(FL-IH_NG)
rift	(R-IH_FT)
rifts	(R-IH_FTS)
rig	(R-IH_G)
riga	(R-IY_)(G-AH_)
rigas	(R-AY_)(G-AH_Z)
rigatoni	(R-IH_)(G-AH_)(T-OW_)(N-IY_)
rigby	(R-IH_G)(B-IY_)
rigdon	(R-IH_G)(D-AH_N)
rigel	(R-AY_)(JH-AH_L)
rigg	(R-IH_G)
riggan	(R-IH_)(G-AH_N)
rigged	(R-IH_GD)
riggen	(R-IH_)(G-AH_N)
riggenbach	(R-IH_)(G-IH_N)(B-AA_K)
riggi	(R-IH_)(JH-IY_)
riggin	(R-IH_)(G-IH_N)
rigging	(R-IH_)(G-IH_NG)
riggings	(R-IH_)(G-IH_NGZ)
riggins	(R-IH_)(G-IH_NZ)
riggio	(R-IY_)(JH-IY_)(-OW_)
riggle	(R-IH_)(G-AH_L)
riggleman	(R-IH_)(G-AH_L)(M-AH_N)
riggs	(R-IH_GZ)
riggsbee	(R-IH_GZ)(B-IY_)
righetti	(R-IY_)(G-EH_)(T-IY_)
righi	(R-IY_)(G-IY_)
right	(R-AY_T)
righted	(R-AY_)(T-IH_D)
righteous	(R-AY_)(CH-AH_S)
righteously	(R-AY_)(CH-AH_)(SL-IY_)
righteousness	(R-AY_)(CH-AH_)(SN-AH_S)
righter	(R-AY_)(T-ER_)
rightful	(R-AY_T)(F-AH_L)
rightfully	(R-AY_T)(F-AH_)(L-IY_)
righthand	(R-AY_T)(HH-AE_ND)
righthanded	(R-AY_T)(HH-AE_N)(D-IH_D)
rightish	(R-AY_)(T-IH_SH)
rightist	(R-AY_)(T-IH_ST)
rightists	(R-AY_)(T-IH_STS)
rightly	(R-AY_T)(L-IY_)
rightmire	(R-AY_T)(M-AY_R)
rightmyer	(R-AY_T)(M-IY_)(-ER_)
rightness	(R-AY_T)(N-AH_S)
rights	(R-AY_TS)
rightward	(R-AY_)(TW-ER_D)
rightwing	(R-AY_)(TW-IH_NG)
righty	(R-AY_)(T-IY_)
rigid	(R-IH_)(JH-AH_D)
rigidities	(R-IH_)(JH-IH_)(D-IH_)(T-IY_Z)
rigidity	(R-IH_)(JH-IH_)(D-AH_)(T-IY_)
rigidly	(R-IH_)(JH-IH_D)(L-IY_)
rigler	(R-AY_)(G-AH_)(L-ER_)
rigney	(R-IH_G)(N-IY_)
rigo	(R-IY_)(G-OW_)
rigoletto	(R-IH_)(G-AH_)(L-EH_)(T-OW_)
rigoni	(R-IY_)(G-OW_)(N-IY_)
rigor	(R-IH_)(G-ER_)
rigorous	(R-IH_)(G-ER_)(-AH_S)
rigorously	(R-IH_)(G-ER_)(-AH_)(SL-IY_)
rigors	(R-IH_)(G-ER_Z)
rigs	(R-IH_GZ)
rigsbee	(R-IH_GZ)(B-IY_)
rigsby	(R-IH_GZ)(B-IY_)
rigueur	(R-IH_)(GY-UW_R)
riha	(R-AY_)(HH-AH_)
rihn	(R-IH_N)
rijn	(R-IY_)(-AH_N)
rikard	(R-IH_)(K-ER_D)
rike	(R-AY_K)
rikeld	(R-AY_)(K-EH_LD)
riker	(R-AY_)(K-ER_)
rikers	(R-AY_)(K-ER_Z)
rikki	(R-IH_)(K-IY_)
riklis	(R-IH_)(KL-IH_S)
riksbank	(R-IH_KS)(B-AE_NGK)
riksdag	(R-IH_KS)(D-AE_G)
rile	(R-AY_L)
riled	(R-AY_LD)
riles	(R-AY_LZ)
riley	(R-AY_)(L-IY_)
rill	(R-IH_L)
rilla	(R-IH_)(L-AH_)
rillette	(R-IH_)(L-EH_T)
rilling	(R-IH_)(L-IH_NG)
rilwanu	(R-IH_L)(W-AA_)(N-UW_)
rim	(R-IH_M)
rima	(R-IY_)(M-AH_)
rimbey	(R-IH_M)(B-IY_)
rimel	(R-IH_)(M-AH_L)
rimer	(R-AY_)(M-ER_)
rimes	(R-AY_MZ)
rimkus	(R-IH_M)(K-AH_S)
rimmed	(R-IH_MD)
rimmer	(R-IH_)(M-ER_)
rimpochet	(R-IH_)(P-OW_)(CH-IH_T)
rimpochets	(R-IH_)(P-OW_)(CH-IH_TS)
rims	(R-IH_MZ)
rimson	(R-IH_M)(S-AH_N)
rina	(R-IY_)(N-AH_)
rinaldi	(R-IY_)(N-AA_L)(D-IY_)
rinaldo	(R-IH_)(N-AA_L)(D-OW_)
rinard	(R-IH_)(N-ER_D)
rinas	(R-AY_)(N-AH_Z)
rinaudo	(R-IY_)(N-AO_)(D-OW_)
rinck	(R-IH_NGK)
rincon	(R-IH_NG)(K-AH_N)
rind	(R-AY_ND)
rindahl	(R-IH_N)(D-AA_L)
rinderer	(R-IH_N)(D-ER_)(-ER_)
rinderknecht	(R-IH_N)(D-ER_K)(N-IH_KT)
rindfleisch	(R-IH_ND)(FL-AY_SH)
rinds	(R-AY_NDZ)
rindt	(R-IH_NT)
rine	(R-AY_N)
rineer	(R-IH_)(N-IH_R)
rinehardt	(R-AY_N)(HH-AA_RT)
rinehart	(R-AY_N)(HH-AA_RT)
rinehimer	(R-AY_N)(HH-AY_)(M-ER_)
rinella	(R-IH_)(N-EH_)(L-AH_)
riner	(R-AY_)(N-ER_)
rines	(R-AY_NZ)
riney	(R-AY_)(N-IY_)
ring	(R-IH_NG)
ringberg	(R-IH_NG)(B-ER_G)
ringdahl	(R-IH_NG)(D-AA_L)
ringe	(R-IH_NG)
ringed	(R-IH_NGD)
ringeisen	(R-IH_NG)(G-AY_)(S-AH_N)
ringel	(R-IH_NG)(G-AH_L)
ringen	(R-IH_N)(G-AH_N)
ringenberg	(R-IH_N)(G-AH_N)(B-ER_G)
ringer	(R-IH_N)(G-ER_)
ringers	(R-IH_N)(G-ER_Z)
ringgenberg	(R-IH_NG)(G-AH_N)(B-ER_G)
ringgit	(R-IH_N)(G-IH_T)
ringgold	(R-IH_NG)(G-OW_LD)
ringing	(R-IH_N)(G-IH_NG)
ringland	(R-IH_NG)(GL-AH_ND)
ringle	(R-IH_NG)(G-AH_L)
ringleader	(R-IH_N)(GL-IY_)(D-ER_)
ringleaders	(R-IH_N)(GL-IY_)(D-ER_Z)
ringler	(R-IH_NG)(G-AH_)(L-ER_)
ringley	(R-IH_NG)(GL-IY_)
ringling	(R-IH_N)(GL-IH_NG)
ringmaster	(R-IH_NG)(M-AE_)(ST-ER_)
ringneck	(R-IH_NG)(N-EH_K)
ringo	(R-IY_NG)(G-OW_)
ringold	(R-IH_NG)(G-OW_LD)
ringquist	(R-IH_NG)(KW-IH_ST)
rings	(R-IH_NGZ)
ringside	(R-IH_NG)(S-AY_D)
ringstad	(R-IH_NG)(ST-AH_D)
ringuette	(R-IH_N)(G-EH_T)
ringwald	(R-IH_N)(GW-AO_LD)
ringwood	(R-IH_N)(GW-UH_D)
rini	(R-IY_)(N-IY_)
rininger	(R-IH_)(N-IH_N)(G-ER_)
rink	(R-IH_NGK)
rinke	(R-IH_NGK)
rinkenberger	(R-IH_NG)(K-AH_N)(B-ER_)(G-ER_)
rinker	(R-IH_NG)(K-ER_)
rinko	(R-IH_NG)(K-OW_)
rinks	(R-IH_NGKS)
rinn	(R-IH_N)
rinne	(R-IH_N)
rinse	(R-IH_NS)
rinsing	(R-IH_N)(S-IH_NG)
rintala	(R-IY_N)(T-AA_)(L-AH_)
rintel	(R-IH_N)(T-EH_L)
rintels	(R-IH_N)(T-EH_LZ)
rio	(R-IY_)(-OW_)
riojas	(R-IY_)(-OW_)(Y-AA_Z)
riolo	(R-IY_)(-OW_)(L-OW_)
rion	(R-AY_)(-AH_N)
riopel	(R-IY_)(-AH_)(P-EH_L)
riopelle	(R-IY_)(-AH_)(P-EH_)(L-IY_)
riordan	(R-IH_R)(D-AH_N)
rios	(R-IY_)(-OW_S)
riot	(R-AY_)(-AH_T)
rioted	(R-AY_)(-AH_)(T-IH_D)
rioter	(R-AY_)(-AH_)(T-ER_)
rioters	(R-AY_)(-AH_)(T-ER_Z)
rioting	(R-AY_)(-AH_)(T-IH_NG)
riotous	(R-AY_)(-AH_)(T-AH_S)
riots	(R-AY_)(-AH_TS)
rioux	(R-UW_)
rip	(R-IH_P)
ripa	(R-IY_)(P-AH_)
ripe	(R-AY_P)
ripen	(R-AY_)(P-AH_N)
ripened	(R-AY_)(P-AH_ND)
ripening	(R-AY_)(P-AH_)(N-IH_NG)
riphagen	(R-IH_)(P-AA_)(G-AH_N)
ripka	(R-IY_P)(K-AH_)
ripke	(R-IH_PK)
ripken	(R-IH_P)(K-AH_N)
ripkin	(R-IH_P)(K-IH_N)
ripley	(R-IH_)(PL-IY_)
ripoff	(R-IH_)(P-AO_F)
ripoffs	(R-IH_)(P-AO_FS)
riposte	(R-IH_)(P-OW_ST)
ripostes	(R-IH_)(P-AO_STS)
ripp	(R-IH_P)
rippe	(R-IH_P)
ripped	(R-IH_PT)
rippee	(R-IH_)(P-IY_)
rippel	(R-IH_)(P-AH_L)
rippeon	(R-IH_)(P-IY_)(-AH_N)
ripper	(R-IH_)(P-ER_)
ripperger	(R-IH_)(P-ER_)(G-ER_)
