a	(-AH0_)
wik	(W-IH1_K)
wike	(W-AA1_Y K)
wikel	(W-IH1_)(K-AH0_L)
wiker	(W-AA1_Y)(K-ER0_)
wikle	(W-AA1_Y)(K-AH0_L)
wiklund	(W-IH1_)(K L-AH0_N D)
wikoff	(W-IH1_)(K-AO0_F)
wikowsky	(W-IH0_)(K-AA1_W)(S K-IY0_Y)
wikstrom	(W-IH1_K)(S T R-AH0_M)
wil	(W-IH1_L)
wiland	(W-AA1_Y)(L-AH0_N D)
wilander	(W-AA1_Y)(L-AH0_N)(D-ER0_)
wilbanks	(W-IH1_L)(B-AH0_NX K S)
wilber	(W-IH1_L)(B-ER0_)
wilberforce	(W-IH1_L)(B-ER0_)(F-AO2_R S)
wilberg	(W-IH1_L)(B-ER0_G)
wilbert	(W-IH1_L)(B-ER0_T)
wilbon	(W-IH1_L)(B-AH0_N)
wilborn	(W-IH1_L)(B-ER0_N)
wilbourn	(W-IH1_L)(B-ER0_N)
wilbourne	(W-IH1_L)(B-ER0_N)
wilbur	(W-IH1_L)(B-ER0_)
wilburn	(W-IH1_L)(B-ER0_N)
wilcher	(W-IH1_L)(CH-ER0_)
wilcock	(W-IH1_L)(K-AA0_K)
wilcox	(W-IH1_L)(K-AA0_K S)
wilcoxen	(W-IH0_L)(K-AA1_K)(S-AH0_N)
wilcoxon	(W-IH0_L)(K-AA1_K)(S-AH0_N)
wilcoxson	(W-IH1_L)(K-AA0_K)(S-AH0_N)
wilczak	(V-IH1_L)(CH-AE0_K)
wilczek	(V-IH1_L)(CH-EH0_K)
wilczewski	(V-IH0_L)(CH-EH1_F)(S K-IY0_Y)
wilczynski	(V-IH0_L)(CH-IH1_N)(S K-IY0_Y)
wild	(W-AA1_Y L D)
wildasin	(W-AA1_Y L)(D-AH0_)(S-IH2_N)
wildavsky	(W-IH0_L)(D-AE1_V)(S K-IY0_Y)
wildcard	(W-AA1_Y LD)(K-AA2_R D)
wildcat	(W-AA1_Y LD)(K-AE2_T)
wildcats	(W-AA1_Y LD)(K-AE2_T S)
wildcatter	(W-AA1_Y LD)(K-AE2_)(T-ER0_)
wildcatters	(W-AA1_Y LD)(K-AE2_)(T-ER0_Z)
wildcatting	(W-AA1_Y LD)(K-AE2_)(T-IH0_NX)
wilde	(W-AA1_Y L D)
wildeman	(W-AA1_Y LD)(M-AH0_N)
wilden	(W-AA1_Y L)(D-AH0_N)
wilder	(W-AA1_Y L)(D-ER0_)
wilderman	(W-AA1_Y L)(D-ER0_)(M-AH0_N)
wildermuth	(W-AA1_Y L)(D-ER0_)(M-UW0_W TH)
wilderness	(W-IH1_L)(D-ER0_)(N-AH0_S)
wildes	(W-AA1_Y L D Z)
wildest	(W-AA1_Y L)(D-IH0_S T)
wildey	(W-IH1_L)(D-IY0_Y)
wildfire	(W-AA1_Y LD)(F-AA2_Y)(-ER0_)
wildfires	(W-AA1_Y LD)(F-AA2_Y)(-ER0_Z)
wildflower	(W-AA1_Y LD)(F L-AA2_W)(-ER0_)
wildflowers	(W-AA1_Y LD)(F L-AA2_W R Z)
wilding	(W-AA1_Y L)(D-IH0_NX)
wildlife	(W-AA1_Y LD)(L-AA2_Y F)
wildly	(W-AA1_Y LD)(L-IY0_Y)
wildman	(W-AA1_Y LD)(M-AH0_N)
wildmon	(W-AA1_Y LD)(M-AH0_N)
wildness	(W-AA1_Y LD)(N-AH0_S)
wildon	(W-AA1_Y L)(D-AH0_N)
wildrick	(W-AA1_Y L)(D R-IH0_K)
wilds	(W-AA1_Y L D Z)
wildt	(W-IH1_L T)
wildwood	(W-AA1_Y L)(D W-UH2_D)
wildwoods	(W-AA1_Y L)(D W-UH2_D Z)
wile	(W-AA1_Y L)
wileen	(W-IH0_)(L-IY1_Y N)
wileman	(W-AA1_Y L)(M-AH0_N)
wilemon	(W-IH1_)(L-IH0_)(M-AA0_N)
wilen	(W-AA1_Y)(L-AH0_N)
wilensky	(W-AH0_)(L-IH1_N)(S K-IY0_Y)
wiler	(W-AA1_Y)(L-ER0_)
wiles	(W-AA1_Y L Z)
wiley	(W-AA1_Y)(L-IY0_Y)
wilfert	(W-IH1_L)(F-ER0_T)
wilfong	(W-IH1_L)(F-AO0_NX)
wilford	(W-IH1_L)(F-ER0_D)
wilfred	(W-IH1_L)(F R-IH0_D)
wilfreda	(W-IH1_L)(F R-IH0_)(D-AH0_)
wilfredo	(W-IH2_L)(F-EY1_Y)(D-OW0_W)
wilfrid	(W-IH1_L)(F R-IH0_D)
wilfried	(W-IH1_L)(F R-IY0_Y D)
wilfully	(W-IH1_L)(F-AH0_)(L-IY0_Y)
wilgus	(W-IH1_L)(G-AH0_S)
wilham	(W-IH1_L)(HH-AH0_M)
wilhelm	(W-IH1_L)(HH-EH2_L M)
wilhelma	(W-IH0_L)(HH-EH1_L)(M-AH0_)
wilhelmi	(W-IH0_L)(HH-EH1_L)(M-IY0_Y)
wilhelmina	(W-IH2_L)(HH-EH0_L)(M-IY1_Y)(N-AH0_)
wilhelmine	(W-IH1_L)(HH-IH0_L)(M-IH0_N)
wilhelms	(W-IH1_L)(HH-EH2_L M Z)
wilhelmsen	(W-IH1_L)(HH-IH0_LM)(S-AH0_N)
wilhelmy	(W-IH1_L)(HH-IH0_L)(M-IY0_Y)
wilhemina	(W-IH1_L)(HH-EH0_)(M-IY1_Y)(N-AH0_)
wilhide	(W-IH1_L)(HH-AA2_Y D)
wilhite	(W-IH1_L)(HH-AA2_Y T)
wilhoit	(W-IH1_L)(HH-OW2_Y T)
wilhoite	(W-IH1_L)(HH-OW2_Y T)
wiliams	(W-IH1_)(L-IY0_Y)(-AH0_M Z)
wiling	(W-AA1_Y)(L-IH0_NX)
wilinski	(V-IH0_)(L-IH1_N)(S K-IY0_Y)
wilk	(W-IH1_L K)
wilke	(W-IH1_L K)
wilken	(W-IH1_L)(K-AH0_N)
wilkening	(W-IH1_L)(K-AH0_)(N-IH0_NX)
wilkens	(W-IH1_L)(K-AH0_N Z)
wilkenson	(W-IH1_L)(K-IH0_N)(S-AH0_N)
wilker	(W-IH1_L)(K-ER0_)
wilkerson	(W-IH1_L)(K-ER0_)(S-AH0_N)
wilkes	(W-IH1_L K S)
wilkesboro	(W-IH1_LKS)(B-ER0_)(-OW0_W)
wilkey	(W-IH1_L)(K-IY0_Y)
wilkie	(W-IH1_L)(K-IY0_Y)
wilkin	(W-IH1_L)(K-IH0_N)
wilking	(W-IH1_L)(K-IH0_NX)
wilkins	(W-IH1_L)(K-IH0_N Z)
wilkinson	(W-IH1_L)(K-AH0_N)(S-AH0_N)
wilkis	(W-IH1_L)(K-IH0_S)
wilkison	(W-IH1_L)(K-IH0_)(S-AH0_N)
wilkowski	(V-IH0_L)(K-AO1_F)(S K-IY0_Y)
wilks	(W-IH1_L K S)
will	(W-IH1_L)
willa	(W-IH1_)(L-AH0_)
willabelle	(W-IH1_)(L-AH0_)(B-EH2_L)
willadsen	(W-IH0_)(L-AE1_D)(S-AH0_N)
willaims	(W-IH1_)(L-AH0_M Z)
willam	(W-IH1_)(L-AH0_M)
willamette	(W-AH0_)(L-AE1_)(M-AH0_T)
willamina	(W-IH0_)(L-AH0_)(M-AA1_Y)(N-AH0_)
willapa	(W-IH0_)(L-AA1_)(P-AH0_)
willard	(W-IH1_)(L-ER0_D)
willbanks	(W-IH1_L)(B-AE2_NX K S)
willcox	(W-IH1_L)(K-AA2_K S)
willcutt	(W-IH1_L)(K-AH0_T)
willden	(W-IH1_L)(D-AH0_N)
wille	(W-IH1_L)
willed	(W-IH1_L D)
willeford	(W-IH1_)(L-IH0_)(F-ER0_D)
willem	(W-IH1_)(L-AH0_M)
willems	(W-IH1_)(L-AH0_M Z)
willemsen	(W-IH0_)(L-EH1_M)(S-AH0_N)
willen	(W-IH1_)(L-AH0_N)
willenborg	(W-IH1_)(L-IH0_N)(B-AO0_R G)
willenbring	(W-IH1_)(L-AH0_N)(B R-IH2_NX)
willens	(W-IH1_)(L-AH0_N Z)
willer	(W-IH1_)(L-ER0_)
willers	(W-IH1_)(L-ER0_Z)
willert	(W-IH1_)(L-ER0_T)
willes	(W-AA1_Y L Z)
willet	(W-IH1_)(L-IH0_T)
willets	(W-IH1_)(L-IH0_T S)
willett	(W-IH1_)(L-IH0_T)
willette	(W-IH0_)(L-EH1_T)
willetts	(W-IH1_)(L-IH0_T S)
willey	(W-IH1_)(L-IY0_Y)
willford	(W-IH1_L)(F-ER0_D)
willful	(W-IH1_L)(F-AH0_L)
willfully	(W-IH1_L)(F-AH0_)(L-IY0_Y)
willhelm	(W-IH1_L)(HH-EH2_L M)
willhite	(W-IH1_L)(HH-AA2_Y T)
willhoit	(W-IH1_L)(HH-OW2_Y T)
willhoite	(W-IH1_L)(HH-OW2_Y T)
willi	(W-IH1_)(L-IY0_Y)
william	(W-IH1_L)(Y-AH0_M)
williams	(W-IH1_L)(Y-AH0_M Z)
williamsburg	(W-IH1_L)(Y-AH0_MZ)(B-ER0_G)
williamsburgh	(W-IH1_L)(Y-AH0_MZ)(B-ER0_G)
williamsen	(W-IH1_L)(Y-AH0_M)(S-AH0_N)
williamson	(W-IH1_L)(Y-AH0_M)(S-AH0_N)
williamsport	(W-IH1_L)(Y-AH0_M)(S P-AO2_R T)
williamstown	(W-IH1_L)(Y-AH0_M)(S T-AA2_W N)
williard	(W-IH1_L)(Y-AA0_R D)
willie	(W-IH1_)(L-IY0_Y)
williford	(W-IH1_)(L-IH0_)(F-ER0_D)
willig	(W-IH1_)(L-IH0_G)
willing	(W-IH1_)(L-IH0_NX)
willinger	(W-IH1_)(L-IH0_N)(G-ER0_)
willingham	(W-IH1_)(L-IH0_NX)(HH-AE2_M)
willingly	(W-IH1_)(L-IH0_N)(G L-IY0_Y)
willingness	(W-IH1_)(L-IH0_NX)(N-AH0_S)
willis	(W-IH1_)(L-IH0_S)
willison	(W-IH1_)(L-IH0_)(S-AH0_N)
williston	(W-IH1_)(L-IH0_)(S T-AA0_N)
willits	(W-IH1_)(L-IH0_T S)
willke	(W-IH1_L)(K-IY0_Y)
willkie	(W-IH1_L)(K-IY0_Y)
willman	(W-IH1_L)(M-AH0_N)
willmann	(W-IH1_L)(M-AH0_N)
willmon	(W-IH1_L)(M-AH0_N)
willmore	(W-IH1_L)(M-AO0_R)
willmott	(W-IH1_L)(M-AH0_T)
willms	(W-IH1_L M Z)
willner	(W-IH1_L)(N-ER0_)
willock	(W-IH1_)(L-AH0_K)
willoughby	(W-IH1_)(L-AH0_)(B-IY0_Y)
willow	(W-IH1_)(L-OW2_W)
willowbrook	(W-IH1_)(L-OW0_W)(B R-UH2_K)
willowes	(W-IH1_)(L-OW2_W Z)
willows	(W-IH1_)(L-OW2_W Z)
willowy	(W-IH1_)(L-AH0_)(W-IY0_Y)
willpower	(W-IH1_L)(P-AA2_W)(-ER0_)
wills	(W-IH1_L Z)
willse	(W-IH1_L)(S-IY0_Y)
willsey	(W-IH1_L)(S-IY0_Y)
willson	(W-IH1_L)(S-AH0_N)
willwerth	(W-IH1_L)(W-ER0_TH)
willy	(W-IH1_)(L-IY0_Y)
willyard	(W-IH1_L)(Y-AA2_R D)
wilma	(W-IH1_L)(M-AH0_)
wilmar	(W-IH1_L)(M-ER0_)
wilmarth	(W-IH1_L)(M-AA0_R TH)
wilmer	(W-IH1_L)(M-ER0_)
wilmes	(W-IH1_L M Z)
wilmet	(W-IH1_L)(M-IH0_T)
wilmeth	(W-IH1_L)(M-IH0_TH)
wilmette	(W-IH0_L)(M-EH1_T)
wilmington	(W-IH1_L)(M-IH0_NX)(T-AH0_N)
wilmore	(W-IH1_L)(M-AO0_R)
wilmot	(W-IH1_L)(M-AH0_T)
wilmoth	(W-IH1_L)(M-AH0_TH)
wilmott	(W-IH1_L)(M-AH0_T)
wilmouth	(W-IH1_L)(M-AA0_W TH)
wilms	(W-IH1_L M Z)
wilner	(W-IH1_L)(N-ER0_)
wilpon	(W-IH1_L)(P-AA0_N)
wilsey	(W-IH1_L)(S-IY0_Y)
wilshire	(W-IH1_L)(SH-AA2_Y R)
wilshusen	(W-IH1_L)(SH-UW0_W)(S-AH0_N)
wilson	(W-IH1_L)(S-AH0_N)
wilt	(W-IH1_L T)
wilted	(W-IH1_L)(T-IH0_D)
wiltel	(W-IH1_L)(T-EH2_L)
wiltfong	(W-IH1_L T)(F-AO0_NX)
wiltgen	(W-IH1_L T)(G-AH0_N)
wilthew	(W-IH1_L)(TH Y-UW0_W)
wilting	(W-IH1_L)(T-IH0_NX)
wilton	(W-IH1_L)(T-AH0_N)
wiltron	(W-IH1_L)(T R-AH0_N)
wiltrout	(W-IH1_L)(T R-AA2_W T)
wilts	(W-IH1_L T S)
wiltse	(W-IH1_L T S)
wiltsey	(W-IH1_L T)(S-IY0_Y)
wiltshire	(W-IH1_L)(CH-AA2_Y R)
wiltsie	(W-IH1_L T)(S-IY0_Y)
wiltz	(W-IH1_L T S)
wily	(W-AA1_Y)(L-IY0_Y)
wiman	(W-AA1_Y)(M-AH0_N)
wimberley	(W-IH1_M)(B-ER0_)(L-IY0_Y)
wimberly	(W-IH1_M)(B-ER0_)(L-IY0_Y)
wimbish	(W-IH1_M)(B-IH0_SH)
wimbledon	(W-IH1_M)(B-AH0_L)(D-AH0_N)
wimbley	(W-IH1_M)(B L-IY0_Y)
wimbush	(W-IH1_M)(B-AH0_SH)
wimer	(W-AA1_Y)(M-ER0_)
wimmer	(W-IH1_)(M-ER0_)
wimp	(W-IH1_M P)
wimpee	(W-IH1_M)(P-IY0_Y)
wimpiness	(W-IH1_M)(P-IY0_Y)(N-AH0_S)
wimps	(W-IH1_M P S)
wimpy	(W-IH1_M)(P-IY0_Y)
wims	(W-IH1_M Z)
wimsatt	(W-IH1_M)(S-AH0_T)
win	(W-IH1_N)
winamac	(W-IH1_)(N-AH0_)(M-AE0_K)
winans	(W-IH1_)(N-AH0_N Z)
winant	(W-AA1_Y)(N-AH0_N T)
winberg	(W-IH1_N)(B-ER0_G)
winberry	(W-IH1_N)(B-EH2_)(R-IY0_Y)
winborn	(W-IH1_N)(B-ER0_N)
winborne	(W-IH1_N)(B-ER0_N)
winburn	(W-IH1_N)(B-ER2_N)
winbush	(W-IH1_N)(B-UH2_SH)
wince	(W-IH1_N S)
winced	(W-IH1_N S T)
wincek	(W-IH1_N)(S-IH0_K)
winch	(W-IH1_N CH)
winchel	(W-IH1_N)(K-AH0_L)
winchell	(W-IH1_N)(CH-AH0_L)
winchester	(W-IH1_N)(CH-EH2_)(S T-ER0_)
wincing	(W-IH1_N)(S-IH0_NX)
winckler	(W-IH1_NX)(K L-ER0_)
wind	(W-AA1_Y N D)
windchill	(W-IH1_N D)(CH-IH2_L)
windchime	(W-IH1_N D)(CH-AA2_Y M)
windchimes	(W-IH1_N D)(CH-AA2_Y M Z)
windecker	(W-IH1_N)(D-EH2_)(K-ER0_)
winded	(W-IH1_N)(D-IH0_D)
windell	(W-IH1_N)(D-AH0_L)
windels	(W-IH1_N)(D-AH0_L Z)
winder	(W-IH1_N)(D-ER0_)
winders	(W-IH1_N)(D-ER0_Z)
windes	(W-IH1_N D Z)
windfall	(W-IH1_N D)(F-AO2_L)
windfalls	(W-IH1_N D)(F-AO2_L Z)
windham	(W-IH1_N)(D-AH0_M)
windheim	(W-IH1_N D)(HH-AA2_Y M)
windhoek	(W-IH1_N D)(HH-OW2_W K)
windholz	(W-IH1_N D)(HH-OW2_W L Z)
windhorst	(W-IH1_N D)(HH-AO0_R S T)
winding	(W-AA1_Y N)(D-IH0_NX)
windisch	(W-IH1_N)(D-IH0_SH)
windish	(W-IH1_N)(D-IH0_SH)
windlass	(W-IH1_N D)(L-AH0_S)
windle	(W-IH1_N)(D-AH0_L)
windler	(W-IH1_N D)(L-ER0_)
windley	(W-IH1_N D)(L-IY0_Y)
windmere	(W-IH1_N D)(M-IH2_R)
windmill	(W-IH1_N D)(M-IH2_L)
windmiller	(W-IH1_N D)(M-IH2_)(L-ER0_)
windmills	(W-IH1_N D)(M-IH2_L Z)
windom	(W-IH1_N)(D-AH0_M)
windon	(W-IH1_N)(D-AH0_N)
window	(W-IH1_N)(D-OW0_W)
windowed	(W-IH1_N)(D-OW0_W D)
windowless	(W-IH1_N)(D-OW0_W)(L-AH0_S)
windowpane	(W-IH1_N)(D-OW0_W)(P-EY2_Y N)
windowpanes	(W-IH1_N)(D-OW0_W)(P-EY2_Y N Z)
windows	(W-IH1_N)(D-OW0_W Z)
winds	(W-IH1_N D Z)
windshield	(W-IH1_N D)(SH-IY2_Y L D)
windshields	(W-IH1_N D)(SH-IY2_Y L D Z)
windsor	(W-IH1_N)(Z-ER0_)
windspeed	(W-IH1_N D)(S P-IY2_Y D)
windstar	(W-IH1_N D)(S T-AA2_R)
windstorm	(W-IH1_N D)(S T-AO2_R M)
windswept	(W-IH1_N)(S W-EH2_P T)
windt	(W-IH1_N T)
windup	(W-AA1_Y N)(D-AH2_P)
windward	(W-IH1_N)(D W-ER0_D)
windy	(W-IH1_N)(D-IY0_Y)
wine	(W-AA1_Y N)
winebarger	(W-IH1_)(N-IH0_)(B-AA0_R)(G-ER0_)
wineberg	(W-AA1_Y N)(B-ER0_G)
winebrenner	(W-IH1_)(N-IH0_)(B R-IH0_)(N-ER0_)
winecoff	(W-IH1_)(N-IH0_)(K-AO0_F)
wined	(W-AA1_Y N D)
winegar	(W-IH1_)(N-IH0_)(G-ER0_)
winegarden	(W-AA1_Y N)(G-AA2_R)(D-AH0_N)
winegardner	(W-IH1_)(N-IH0_)(G-AA0_R D)(N-ER0_)
wineheim	(W-AA1_Y N)(HH-AA2_Y M)
wineinger	(W-AA1_Y)(N-IH0_N)(G-ER0_)
wineland	(W-IH1_)(N-IH0_)(L-AH0_N D)
winema	(W-IH1_)(N-IH0_)(M-AH0_)
wineman	(W-AA1_Y N)(M-AH0_N)
winemiller	(W-AA1_Y N)(M-IH2_)(L-ER0_)
winer	(W-AA1_Y)(N-ER0_)
wineries	(W-AA1_Y)(N-ER0_)(-IY0_Y Z)
winery	(W-AA1_Y)(N-ER0_)(-IY0_Y)
wines	(W-AA1_Y N Z)
winey	(W-AA1_Y)(N-IY0_Y)
winfield	(W-IH1_N)(F-IY2_Y L D)
winford	(W-IH1_N)(F-ER0_D)
winfred	(W-IH1_N)(F R-IH0_D)
winfree	(W-IH1_N)(F R-IY2_Y)
winfrey	(W-IH1_N)(F R-IY0_Y)
winfrid	(W-IH1_N)(F R-IH0_D)
wing	(W-IH1_NX)
wingard	(W-IH1_NX)(G-ER0_D)
wingate	(W-IH1_N)(G-EY2_Y T)
wingback	(W-IH1_NX)(B-AE2_K)
winge	(W-IH1_N JH)
winged	(W-IH1_NX D)
winger	(W-IH1_N)(G-ER0_)
wingers	(W-IH1_N)(G-ER0_Z)
wingert	(W-IH1_NX)(G-ER0_T)
wingerter	(W-IH1_NX)(G-ER0_)(T-ER0_)
winget	(W-IH1_NX)(G-IH0_T)
wingett	(W-IH1_NX)(G-IH0_T)
wingfield	(W-IH1_NX)(F-IY2_Y L D)
winging	(W-IH1_N)(G-IH0_NX)
wingler	(W-IH1_NX)(G-AH0_)(L-ER0_)
winglike	(W-IH1_N)(G L-AA2_Y K)
wingman	(W-IH1_NX)(M-AH0_N)
wingo	(W-IY1_Y NX)(G-OW0_W)
wingrove	(W-IH1_N)(G R-OW2_W V)
wings	(W-IH1_NX Z)
wingspan	(W-IH1_NX)(S P-AE2_N)
winiarski	(V-IH0_)(N-IY0_Y)(-AA1_R)(S K-IY0_Y)
winick	(W-IH1_)(N-IH0_K)
winiecki	(V-IH0_)(N-IY1_Y T)(S K-IY0_Y)
winifred	(W-IH1_)(N-IH0_)(F R-IH0_D)
winik	(W-IH1_)(N-IH0_K)
wining	(W-AA1_Y)(N-IH0_NX)
wininger	(W-AA1_Y)(N-IH0_N)(G-ER0_)
winings	(W-AA1_Y)(N-IH0_NX Z)
wink	(W-IH1_NX K)
winked	(W-IH1_NX K T)
winkel	(W-IH1_NX)(K-AH0_L)
winkelman	(W-IH1_NX)(K-AH0_L)(M-AH0_N)
winkelmann	(W-IH1_NX)(K-AH0_L)(M-AH0_N)
winkels	(W-IH1_NX)(K-AH0_L Z)
winker	(W-IH1_NX)(K-ER0_)
winkfield	(W-IH1_NXK)(F-IY2_Y L D)
winking	(W-IH1_NX)(K-IH0_NX)
winkle	(W-IH1_NX)(K-AH0_L)
winkleman	(W-IH1_NX)(K-AH0_L)(M-AH0_N)
winkler	(W-IH1_NX)(K L-ER0_)
winkles	(W-IH1_NX)(K-AH0_L Z)
winkley	(W-IH1_NX)(K L-IY0_Y)
winkowski	(V-IH0_NX)(K-AO1_F)(S K-IY0_Y)
winks	(W-IH1_NX K S)
winland	(W-IH1_N)(L-AH0_N D)
winn	(W-IH1_N)
winnable	(W-IH1_)(N-AH0_)(B-AH0_L)
winne	(W-IH1_N)
winnebago	(W-IH2_)(N-AH0_)(B-EY1_Y)(G-OW0_W)
winner	(W-IH1_)(N-ER0_)
winners	(W-IH1_)(N-ER0_Z)
winnetka	(W-IH0_)(N-EH1_T)(K-AH0_)
winnett	(W-IH1_)(N-IH0_T)
winney	(W-IH1_)(N-IY0_Y)
winnick	(W-IH1_)(N-IH0_K)
winnicki	(V-IH0_)(N-IH1_T)(S K-IY0_Y)
winnie	(W-IH1_)(N-IY0_Y)
winning	(W-IH1_)(N-IH0_NX)
winningest	(W-IH1_)(N-IH0_N)(G-AH0_S T)
winningham	(W-IH1_)(N-IH0_NX)(HH-AE2_M)
winnings	(W-IH1_)(N-IH0_NX Z)
winnipeg	(W-IH1_)(N-IH0_)(P-AH0_G)
winnow	(W-IH1_)(N-OW2_W)
winnowed	(W-IH1_)(N-OW2_W D)
winnowing	(W-IH1_)(N-OW2_W)(-IH0_NX)
winny	(W-IH1_)(N-IY0_Y)
wino	(W-IY1_Y)(N-OW0_W)
winograd	(W-IH1_)(N-AH0_)(G R-AE0_D)
winokur	(W-IH1_)(N-AH0_)(K-ER0_)
winola	(V-IH0_)(N-OW1_W)(L-AH0_)
winona	(W-IH1_)(N-AH0_)(N-AH0_)
winonah	(W-IH1_)(N-AH0_)(N-AH0_)
winooski	(W-IH0_)(N-UW1_W)(S K-IY0_Y)
winos	(W-IY1_Y)(N-OW0_W S)
winquist	(W-IH1_N)(K W-IH2_S T)
wins	(W-IH1_N Z)
winsett	(W-IH1_N)(S-IH0_T)
winship	(W-IH1_N)(SH-IH2_P)
winski	(W-IH1_N)(S K-IY2_Y)
winslett	(W-IH1_N)(S L-IH0_T)
winslow	(W-IH1_NZ)(L-OW0_W)
winsome	(W-IH1_N)(S-AH0_M)
winson	(W-IH1_N)(S-AH0_N)
winsor	(W-IH1_N)(Z-ER0_)
winstanley	(W-IH1_N)(S T-AH0_N)(L-IY0_Y)
winstead	(W-IH1_N)(S T-EH2_D)
winston	(W-IH1_N)(S T-AH0_N)
wint	(W-IH1_N T)
winter	(W-IH1_N)(T-ER0_)
winterberg	(W-IH1_N)(T-ER0_)(B-ER0_G)
winterbourne	(W-IH1_N)(T-ER0_)(B-AO2_R N)
wintered	(W-IH1_N)(T-ER0_D)
winterhalter	(W-IH1_N)(T-ER0_)(HH-AO2_L)(T-ER0_)
winterize	(W-IH1_N)(T-ER0_)(-AA2_Y Z)
winterized	(W-IH1_N)(T-ER0_)(-AA2_Y Z D)
wintermute	(W-IH1_N)(T-ER0_)(M Y-UW2_W T)
winterrowd	(W-IH1_N)(T-ER0_)(-AA0_W D)
winters	(W-IH1_N)(T-ER0_Z)
wintershall	(W-IH1_N)(T-ER0_)(SH-AE2_L)
wintersteen	(W-IH1_N)(T-ER0_)(S T-IY2_Y N)
winterstein	(W-IH1_N)(T-ER0_)(S T-AA2_Y N)
winterthur	(W-IH1_N)(T-ER0_)(TH-ER0_)
wintertime	(W-IH1_N)(T-ER0_)(T-AA2_Y M)
winterton	(W-IH1_N)(T-ER0_)(T-AH0_N)
winther	(W-IH1_N)(TH-ER0_)
winthrop	(W-IH1_N)(TH R-AH0_P)
wintle	(W-IH1_N)(T-AH0_L)
wintom	(W-IH1_N)(T-AH0_M)
winton	(W-IH1_N)(T-AH0_N)
wintour	(W-IH1_N)(T-UH2_R)
wintry	(W-IH1_N)(T R-IY0_Y)
wintz	(W-IH1_N T S)
wintzer	(W-IH1_N T)(S-ER0_)
winward	(W-IH1_N)(W-ER0_D)
winwood	(W-IH1_N)(W-UH2_D)
winword	(W-IH1_N)(W-ER0_D)
winzeler	(W-IH1_N)(Z-AH0_)(L-ER0_)
winzer	(W-IH1_N)(Z-ER0_)
wion	(W-AA1_Y)(-AH0_N)
wipe	(W-AA1_Y P)
wiped	(W-AA1_Y P T)
wipeout	(W-AA1_Y)(P-AA2_W T)
wiper	(W-AA1_Y)(P-ER0_)
wipers	(W-AA1_Y)(P-ER0_Z)
wipes	(W-AA1_Y P S)
wipf	(W-IH1_P F)
wiping	(W-AA1_Y)(P-IH0_NX)
wipperfurth	(W-IH1_)(P-ER0_)(F-ER0_TH)
wire	(W-AA1_Y)(-ER0_)
wired	(W-AA1_Y)(-ER0_D)
wireless	(W-AA1_Y R)(L-IH0_S)
wireline	(W-AA1_Y R)(L-AA2_Y N)
wireman	(W-AA1_Y R)(M-AH0_N)
wires	(W-AA1_Y)(-ER0_Z)
wiretap	(W-AA1_Y)(-ER0_)(T-AE2_P)
wiretapped	(W-AA1_Y)(-ER0_)(T-AE2_P T)
wiretapping	(W-AA1_Y)(-ER0_)(T-AE2_)(P-IH0_NX)
wiretaps	(W-AA1_Y R)(T-AE2_P S)
wirick	(W-IH1_)(R-IH0_K)
wiring	(W-AA1_Y)(R-IH0_NX)
wirkkala	(V-ER0_)(K-AA1_)(L-AH0_)
wirkus	(W-ER1_)(K-IH0_S)
wirsing	(W-ER1_)(S-IH0_NX)
wirt	(W-ER1_T)
wirtanen	(W-ER1_)(T-AH0_)(N-AH0_N)
wirth	(W-ER1_TH)
wirthlin	(W-ER1_TH)(L-IH0_N)
wirtz	(W-ER1_T S)
wiry	(W-IH1_)(R-IY0_Y)
wirz	(W-ER1_Z)
wis	(W-IH1_S)
wisby	(W-IH1_S)(B-IY0_Y)
wisch	(W-IH1_SH)
wischmeyer	(W-IH1_SH)(M-AA0_Y)(-ER0_)
wisconsin	(W-IH0_)(S K-AA1_N)(S-AH0_N)
wisdom	(W-IH1_Z)(D-AH0_M)
wise	(W-AA1_Y Z)
wisecarver	(W-AA1_Y Z)(K-AA2_R)(V-ER0_)
wisecrack	(W-AA1_Y Z)(K R-AE2_K)
wisecracking	(W-AA1_Y Z)(K R-AE2_)(K-IH0_NX)
wisecracks	(W-AA1_Y Z)(K R-AE2_K S)
wisecup	(W-AA1_Y Z)(K-AH2_P)
wised	(W-AA1_Y Z D)
wiseguy	(W-AA1_Y Z)(G-AA2_Y)
wisehart	(W-AA1_Y Z)(HH-AA2_R T)
wisel	(W-AA1_Y)(Z-AH0_L)
wiseley	(W-IH1_)(S-IH0_)(L-IY0_Y)
wisely	(W-AA1_Y Z)(L-IY0_Y)
wiseman	(W-AA1_Y Z)(M-AH0_N)
wisenbaker	(W-AA1_Y)(Z-AH0_N)(B-EY2_Y)(K-ER0_)
wisener	(W-IH1_)(S-IY0_Y)(N-ER0_)
wiser	(W-AA1_Y)(Z-ER0_)
wisest	(W-AA1_Y)(Z-AH0_S T)
wish	(W-IH1_SH)
wisham	(W-IH1_)(SH-AH0_M)
wishard	(W-IH1_)(SH-ER0_D)
wishart	(W-IH1_)(SH-AA2_R T)
wishbone	(W-IH1_SH)(B-OW2_W N)
wished	(W-IH1_SH T)
wisher	(W-IH1_)(SH-ER0_)
wishers	(W-IH1_)(SH-ER0_Z)
wishes	(W-IH1_)(SH-IH0_Z)
wishful	(W-IH1_SH)(F-AH0_L)
