a	(-A0_)
oxigene	(-O0_X)(-I0_X)(-E0_)(N-E0_)
oxigenen	(-O0_X)(-I0_X)(-E0_)(N-E0_N )
oxigeno	(-O0_X)(-I0_X)(-E0_)(N-O0_)
oxigené	(-O0_X)(-I0_X)(-E0_)(N-E1_)
oxigenó	(-O0_X)(-I0_X)(-E0_)(N-O1_)
oxigonio	(-O0_X)(-I0_)(G-O0_)(N-I0_)(-O0_)
oxiuro	(-O0_X)(-I0_)(-U0_)(R-O0_)
oxizacre	(-O0_X)(-I0_)(Z-A0_K)(R-E0_)
oxoniense	(-O0_X)(-O0_)(N-I0_)(-E0_N)(S-E0_)
oxte	(-O0_X)(T-E0_)
oxálico	(-O0_X)(-A1_)(L-I0_)(K-O0_)
oxígeno	(-O0_X)(-I1_X)(-E0_)(N-O0_)
oye	(-O0_)(Y-E0_)
oyente	(-O0_)(Y-E0_N)(T-E0_)
oyéndole	(-O0_)(Y-E1_N)(D-O0_)(L-E0_)
oyéndolo	(-O0_)(Y-E1_N)(D-O0_)(L-O0_)
oyéndome	(-O0_)(Y-E1_N)(D-O0_)(M-E0_)
oyéndomelo	(-O0_)(Y-E1_N)(D-O0_)(M-E0_)(L-O0_)
oyéndonos	(-O0_)(Y-E1_N)(D-O0_)(N-O0_S )
oyéndonoslo	(-O0_)(Y-E1_N)(D-O0_)(N-O0_S)(L-O0_)
oyéndoselo	(-O0_)(Y-E1_N)(D-O0_)(S-E0_)(L-O0_)
oyéndote	(-O0_)(Y-E1_N)(D-O0_)(T-E0_)
oyéndotelo	(-O0_)(Y-E1_N)(D-O0_)(T-E0_)(L-O0_)
oyó	(-O0_)(Y-O1_)
ozono	(-O0_)(Z-O0_)(N-O0_)
oí	(-O0_)(-I1_)
oía	(-O0_)(-I1_)(-A0_)
oídio	(-O0_)(-I1_)(D-I0_)(-O0_)
oíl	(-O0_)(-I1_L )
oír	(-O0_)(-I1_R )
oírla	(-O0_)(-I1_R)(L-A0_)
oírle	(-O0_)(-I1_R)(L-E0_)
oírlo	(-O0_)(-I1_R)(L-O0_)
oírme	(-O0_)(-I1_R)(M-E0_)
oírmelo	(-O0_)(-I1_R)(M-E0_)(L-O0_)
oírnos	(-O0_)(-I1_R)(N-O0_S )
oírnoslo	(-O0_)(-I1_R)(N-O0_S)(L-O0_)
oírselo	(-O0_)(-I1_R)(S-E0_)(L-O0_)
oírte	(-O0_)(-I1_R)(T-E0_)
oírtelo	(-O0_)(-I1_R)(T-E0_)(L-O0_)
oís	(-O0_)(-I1_S )
pabellón	(P-A0_)(B-E0_LL)(-O1_N )
pabilo	(P-A0_)(B-I0_)(L-O0_)
pabilos	(P-A0_)(B-I0_)(L-O0_S )
paca	(P-A0_)(K-A0_)
pacana	(P-A0_)(K-A0_)(N-A0_)
pacato	(P-A0_)(K-A0_)(T-O0_)
paccionar	(P-A0_K)(S-I0_)(-O0_)(N-A0_R )
paccione	(P-A0_K)(S-I0_)(-O0_)(N-E0_)
pace	(P-A0_)(S-E0_)
pacen	(P-A0_)(S-E0_N )
pacense	(P-A0_)(S-E0_N)(S-E0_)
pacer	(P-A0_)(S-E0_R )
pacha	(P-A0_)(CH-A0_)
pacho	(P-A0_)(CH-O0_)
pachorra	(P-A0_)(CH-O0_RR)(-A0_)
pachucho	(P-A0_)(CH-U0_)(CH-O0_)
pachón	(P-A0_)(CH-O1_N )
paciencia	(P-A0_)(S-I0_)(-E0_N)(S-I0_)(-A0_)
paciente	(P-A0_)(S-I0_)(-E0_N)(T-E0_)
pacientemente	(P-A0_)(S-I0_)(-E0_N)(T-E0_)(M-E0_N)(T-E0_)
pacienzudo	(P-A0_)(S-I0_)(-E0_N)(Z-U0_)(D-O0_)
pacificador	(P-A0_)(S-I0_)(F-I0_)(K-A0_)(D-O0_R )
pacificar	(P-A0_)(S-I0_)(F-I0_)(K-A0_R )
pacifico	(P-A0_)(S-I0_)(F-I0_)(K-O0_)
pacifismo	(P-A0_)(S-I0_)(F-I0_S)(M-O0_)
pacifista	(P-A0_)(S-I0_)(F-I0_S)(T-A0_)
pació	(P-A0_)(S-I0_)(-O1_)
pacotilla	(P-A0_)(K-O0_)(T-I0_LL)(-A0_)
pacotillero	(P-A0_)(K-O0_)(T-I0_LL)(-E0_)(R-O0_)
pacta	(P-A0_K)(T-A0_)
pactan	(P-A0_K)(T-A0_N )
pactar	(P-A0_K)(T-A0_R )
pacte	(P-A0_K)(T-E0_)
pacten	(P-A0_K)(T-E0_N )
pacto	(P-A0_K)(T-O0_)
pactos	(P-A0_K)(T-O0_S )
pacté	(P-A0_K)(T-E1_)
pactó	(P-A0_K)(T-O1_)
pací	(P-A0_)(S-I1_)
pacía	(P-A0_)(S-I1_)(-A0_)
pacíficamente	(P-A0_)(S-I1_)(F-I0_)(K-A0_)(M-E0_N)(T-E0_)
pacífico	(P-A0_)(S-I1_)(F-I0_)(K-O0_)
padece	(P-A0_)(D-E0_)(S-E0_)
padecer	(P-A0_)(D-E0_)(S-E0_R )
padilla	(P-A0_)(D-I0_LL)(-A0_)
padrastro	(P-A0_D)(R-A0_S T)(R-O0_)
padrazo	(P-A0_D)(R-A0_)(Z-O0_)
padre	(P-A0_D)(R-E0_)
padrear	(P-A0_D)(R-E0_)(-A0_R )
padree	(P-A0_D)(R-E0_)(-E0_)
padrenuestro	(P-A0_D)(R-E0_)(N-U0_)(-E0_S T)(R-O0_)
padrina	(P-A0_D)(R-I0_)(N-A0_)
padrinazgo	(P-A0_D)(R-I0_)(N-A0_Z)(G-O0_)
padrino	(P-A0_D)(R-I0_)(N-O0_)
padrones	(P-A0_D)(R-O0_)(N-E0_S )
padrote	(P-A0_D)(R-O0_)(T-E0_)
padrón	(P-A0_D)(R-O1_N )
paella	(P-A0_)(-E0_LL)(-A0_)
paf	(P-A0_F )
pafio	(P-A0_)(F-I0_)(-O0_)
paga	(P-A0_)(G-A0_)
pagable	(P-A0_)(G-A0_B)(L-E0_)
pagada	(P-A0_)(G-A0_)(D-A0_)
pagadero	(P-A0_)(G-A0_)(D-E0_)(R-O0_)
pagado	(P-A0_)(G-A0_)(D-O0_)
pagador	(P-A0_)(G-A0_)(D-O0_R )
pagan	(P-A0_)(G-A0_N )
paganice	(P-A0_)(G-A0_)(N-I0_)(S-E0_)
paganismo	(P-A0_)(G-A0_)(N-I0_S)(M-O0_)
paganizar	(P-A0_)(G-A0_)(N-I0_)(Z-A0_R )
paganizo	(P-A0_)(G-A0_)(N-I0_)(Z-O0_)
pagano	(P-A0_)(G-A0_)(N-O0_)
pagar	(P-A0_)(G-A0_R )
pagarla	(P-A0_)(G-A0_R)(L-A0_)
pagarle	(P-A0_)(G-A0_R)(L-E0_)
pagarlo	(P-A0_)(G-A0_R)(L-O0_)
pagarme	(P-A0_)(G-A0_R)(M-E0_)
pagarnos	(P-A0_)(G-A0_R)(N-O0_S )
pagarte	(P-A0_)(G-A0_R)(T-E0_)
pagaré	(P-A0_)(G-A0_)(R-E1_)
pagaya	(P-A0_)(G-A0_)(Y-A0_)
pagel	(P-A0_X)(-E0_L )
pagina	(P-A0_X)(-I0_)(N-A0_)
paginan	(P-A0_X)(-I0_)(N-A0_N )
paginar	(P-A0_X)(-I0_)(N-A0_R )
pagine	(P-A0_X)(-I0_)(N-E0_)
paginen	(P-A0_X)(-I0_)(N-E0_N )
pagino	(P-A0_X)(-I0_)(N-O0_)
paginé	(P-A0_X)(-I0_)(N-E1_)
paginó	(P-A0_X)(-I0_)(N-O1_)
pago	(P-A0_)(G-O0_)
pagoda	(P-A0_)(G-O0_)(D-A0_)
pagos	(P-A0_)(G-O0_S )
pagro	(P-A0_G)(R-O0_)
pague	(P-A0_)(G-E0_)
pagué	(P-A0_)(G-E1_)
paguémonos	(P-A0_)(G-E1_)(M-O0_)(N-O0_S )
pagándome	(P-A0_)(G-A1_N)(D-O0_)(M-E0_)
pagándomelo	(P-A0_)(G-A1_N)(D-O0_)(M-E0_)(L-O0_)
pagándonos	(P-A0_)(G-A1_N)(D-O0_)(N-O0_S )
pagándonoslo	(P-A0_)(G-A1_N)(D-O0_)(N-O0_S)(L-O0_)
pagándoselo	(P-A0_)(G-A1_N)(D-O0_)(S-E0_)(L-O0_)
pagándote	(P-A0_)(G-A1_N)(D-O0_)(T-E0_)
pagándotelo	(P-A0_)(G-A1_N)(D-O0_)(T-E0_)(L-O0_)
pagármelo	(P-A0_)(G-A1_R)(M-E0_)(L-O0_)
pagárnoslo	(P-A0_)(G-A1_R)(N-O0_S)(L-O0_)
pagárselo	(P-A0_)(G-A1_R)(S-E0_)(L-O0_)
pagártelo	(P-A0_)(G-A1_R)(T-E0_)(L-O0_)
pagó	(P-A0_)(G-O1_)
paico	(P-A0_)(-I0_)(K-O0_)
paila	(P-A0_)(-I0_)(L-A0_)
paipay	(P-A0_)(-I0_)(P-A0_Y )
paipáis	(P-A0_)(-I0_)(P-A1_)(-I0_S )
pairar	(P-A0_)(-I0_)(R-A0_R )
paire	(P-A0_)(-I0_)(R-E0_)
paisaje	(P-A0_)(-I0_)(S-A0_X)(-E0_)
paisajista	(P-A0_)(-I0_)(S-A0_X)(-I0_S)(T-A0_)
paisana	(P-A0_)(-I0_)(S-A0_)(N-A0_)
paisano	(P-A0_)(-I0_)(S-A0_)(N-O0_)
paisista	(P-A0_)(-I0_)(S-I0_S)(T-A0_)
paja	(P-A0_X)(-A0_)
pajar	(P-A0_X)(-A0_R )
pajarear	(P-A0_X)(-A0_)(R-E0_)(-A0_R )
pajaree	(P-A0_X)(-A0_)(R-E0_)(-E0_)
pajarero	(P-A0_X)(-A0_)(R-E0_)(R-O0_)
pajarilla	(P-A0_X)(-A0_)(R-I0_LL)(-A0_)
pajarito	(P-A0_X)(-A0_)(R-I0_)(T-O0_)
pajarota	(P-A0_X)(-A0_)(R-O0_)(T-A0_)
pajarraco	(P-A0_X)(-A0_RR)(-A0_)(K-O0_)
pajazo	(P-A0_X)(-A0_)(Z-O0_)
paje	(P-A0_X)(-E0_)
pajear	(P-A0_X)(-E0_)(-A0_R )
pajecillo	(P-A0_X)(-E0_)(S-I0_LL)(-O0_)
pajee	(P-A0_X)(-E0_)(-E0_)
pajel	(P-A0_X)(-E0_L )
pajero	(P-A0_X)(-E0_)(R-O0_)
pajilla	(P-A0_X)(-I0_LL)(-A0_)
pajizo	(P-A0_X)(-I0_)(Z-O0_)
pajo	(P-A0_X)(-O0_)
pajolero	(P-A0_X)(-O0_)(L-E0_)(R-O0_)
pajos	(P-A0_X)(-O0_S )
pajoso	(P-A0_X)(-O0_)(S-O0_)
pajuela	(P-A0_X)(-U0_)(-E0_)(L-A0_)
pakistaní	(P-A0_)(K-I0_S)(T-A0_)(N-I1_)
pakistaníes	(P-A0_)(K-I0_S)(T-A0_)(N-I1_)(-E0_S )
pakistán	(P-A0_)(K-I0_S)(T-A1_N )
pal	(P-A0_L )
pala	(P-A0_)(L-A0_)
palabra	(P-A0_)(L-A0_B)(R-A0_)
palabreja	(P-A0_)(L-A0_B)(R-E0_X)(-A0_)
palabreo	(P-A0_)(L-A0_B)(R-E0_)(-O0_)
palabrero	(P-A0_)(L-A0_B)(R-E0_)(R-O0_)
palabrimujer	(P-A0_)(L-A0_B)(R-I0_)(M-U0_X)(-E0_R )
palabrista	(P-A0_)(L-A0_B)(R-I0_S)(T-A0_)
palabrita	(P-A0_)(L-A0_B)(R-I0_)(T-A0_)
palabrota	(P-A0_)(L-A0_B)(R-O0_)(T-A0_)
palacete	(P-A0_)(L-A0_)(S-E0_)(T-E0_)
palaciego	(P-A0_)(L-A0_)(S-I0_)(-E0_)(G-O0_)
palacio	(P-A0_)(L-A0_)(S-I0_)(-O0_)
palada	(P-A0_)(L-A0_)(D-A0_)
paladar	(P-A0_)(L-A0_)(D-A0_R )
paladear	(P-A0_)(L-A0_)(D-E0_)(-A0_R )
paladee	(P-A0_)(L-A0_)(D-E0_)(-E0_)
paladinamente	(P-A0_)(L-A0_)(D-I0_)(N-A0_)(M-E0_N)(T-E0_)
paladino	(P-A0_)(L-A0_)(D-I0_)(N-O0_)
paladio	(P-A0_)(L-A0_)(D-I0_)(-O0_)
paladión	(P-A0_)(L-A0_)(D-I0_)(-O1_N )
palado	(P-A0_)(L-A0_)(D-O0_)
paladín	(P-A0_)(L-A0_)(D-I1_N )
palafito	(P-A0_)(L-A0_)(F-I0_)(T-O0_)
palafrenero	(P-A0_)(L-A0_F)(R-E0_)(N-E0_)(R-O0_)
palafrén	(P-A0_)(L-A0_F)(R-E1_N )
palahierro	(P-A0_)(L-A0_)(-I0_)(-E0_RR)(-O0_)
palamallo	(P-A0_)(L-A0_)(M-A0_LL)(-O0_)
palamenta	(P-A0_)(L-A0_)(M-E0_N)(T-A0_)
palanca	(P-A0_)(L-A0_NG)(K-A0_)
palancada	(P-A0_)(L-A0_NG)(K-A0_)(D-A0_)
palancana	(P-A0_)(L-A0_NG)(K-A0_)(N-A0_)
palancas	(P-A0_)(L-A0_NG)(K-A0_S )
palangana	(P-A0_)(L-A0_NG)(G-A0_)(N-A0_)
palanganero	(P-A0_)(L-A0_NG)(G-A0_)(N-E0_)(R-O0_)
palangre	(P-A0_)(L-A0_NG G)(R-E0_)
palangrero	(P-A0_)(L-A0_NG G)(R-E0_)(R-O0_)
palanquear	(P-A0_)(L-A0_NG)(-K0_)(-E0_)(-A0_R )
palanquee	(P-A0_)(L-A0_NG)(-K0_)(-E0_)(-E0_)
palanquero	(P-A0_)(L-A0_NG)(-K0_)(-E0_)(R-O0_)
palanqueta	(P-A0_)(L-A0_NG)(-K0_)(-E0_)(T-A0_)
palanquín	(P-A0_)(L-A0_NG)(-K0_)(-I1_N )
palasan	(P-A0_)(L-A0_)(S-A0_N )
palastro	(P-A0_)(L-A0_S T)(R-O0_)
palatal	(P-A0_)(L-A0_)(T-A0_L )
palatalice	(P-A0_)(L-A0_)(T-A0_)(L-I0_)(S-E0_)
palatalizar	(P-A0_)(L-A0_)(T-A0_)(L-I0_)(Z-A0_R )
palatalizo	(P-A0_)(L-A0_)(T-A0_)(L-I0_)(Z-O0_)
palatinado	(P-A0_)(L-A0_)(T-I0_)(N-A0_)(D-O0_)
palatino	(P-A0_)(L-A0_)(T-I0_)(N-O0_)
palau	(P-A0_)(L-A0_)(-U0_)
palco	(P-A0_L)(K-O0_)
palea	(P-A0_)(L-E0_)(-A0_)
paleador	(P-A0_)(L-E0_)(-A0_)(D-O0_R )
paleal	(P-A0_)(L-E0_)(-A0_L )
palean	(P-A0_)(L-E0_)(-A0_N )
palear	(P-A0_)(L-E0_)(-A0_R )
palee	(P-A0_)(L-E0_)(-E0_)
paleen	(P-A0_)(L-E0_)(-E0_N )
palenque	(P-A0_)(L-E0_NG)(-K0_)(-E0_)
palentino	(P-A0_)(L-E0_N)(T-I0_)(N-O0_)
paleo	(P-A0_)(L-E0_)(-O0_)
paleográfico	(P-A0_)(L-E0_)(-O0_G)(R-A1_)(F-I0_)(K-O0_)
paleolítico	(P-A0_)(L-E0_)(-O0_)(L-I1_)(T-I0_)(K-O0_)
paleoterio	(P-A0_)(L-E0_)(-O0_)(T-E0_)(R-I0_)(-O0_)
paleozoico	(P-A0_)(L-E0_)(-O0_)(Z-O0_)(-I0_)(K-O0_)
palero	(P-A0_)(L-E0_)(R-O0_)
pales	(P-A0_)(L-E0_S )
palestino	(P-A0_)(L-E0_S)(T-I0_)(N-O0_)
palestra	(P-A0_)(L-E0_S T)(R-A0_)
paleta	(P-A0_)(L-E0_)(T-A0_)
paletada	(P-A0_)(L-E0_)(T-A0_)(D-A0_)
paletear	(P-A0_)(L-E0_)(T-E0_)(-A0_R )
paletee	(P-A0_)(L-E0_)(T-E0_)(-E0_)
paletero	(P-A0_)(L-E0_)(T-E0_)(R-O0_)
paletilla	(P-A0_)(L-E0_)(T-I0_LL)(-A0_)
paleto	(P-A0_)(L-E0_)(T-O0_)
paletón	(P-A0_)(L-E0_)(T-O1_N )
paleé	(P-A0_)(L-E0_)(-E1_)
paleó	(P-A0_)(L-E0_)(-O1_)
palhuén	(P-A0_)(L-U0_)(-E1_N )
paliar	(P-A0_)(L-I0_)(-A0_R )
paliativo	(P-A0_)(L-I0_)(-A0_)(T-I0_)(V-O0_)
paliatorio	(P-A0_)(L-I0_)(-A0_)(T-O0_)(R-I0_)(-O0_)
palidece	(P-A0_)(L-I0_)(D-E0_)(S-E0_)
palidecen	(P-A0_)(L-I0_)(D-E0_)(S-E0_N )
palidecer	(P-A0_)(L-I0_)(D-E0_)(S-E0_R )
palideció	(P-A0_)(L-I0_)(D-E0_)(S-I0_)(-O1_)
palidecí	(P-A0_)(L-I0_)(D-E0_)(S-I1_)
palidecía	(P-A0_)(L-I0_)(D-E0_)(S-I1_)(-A0_)
palidez	(P-A0_)(L-I0_)(D-E0_Z )
palidezca	(P-A0_)(L-I0_)(D-E0_Z)(K-A0_)
palidezco	(P-A0_)(L-I0_)(D-E0_Z)(K-O0_)
paliducho	(P-A0_)(L-I0_)(D-U0_)(CH-O0_)
palier	(P-A0_)(L-I0_)(-E0_R )
palillero	(P-A0_)(L-I0_LL)(-E0_)(R-O0_)
palillo	(P-A0_)(L-I0_LL)(-O0_)
palimpsesto	(P-A0_)(L-I0_M P)(S-E0_S)(T-O0_)
palingenesia	(P-A0_)(L-I0_N X)(-E0_)(N-E0_)(S-I0_)(-A0_)
palinodia	(P-A0_)(L-I0_)(N-O0_)(D-I0_)(-A0_)
palio	(P-A0_)(L-I0_)(-O0_)
palique	(P-A0_)(L-I0_)(-K0_)(-E0_)
paliquear	(P-A0_)(L-I0_)(-K0_)(-E0_)(-A0_R )
paliquee	(P-A0_)(L-I0_)(-K0_)(-E0_)(-E0_)
palisandro	(P-A0_)(L-I0_)(S-A0_N D)(R-O0_)
palitoque	(P-A0_)(L-I0_)(T-O0_)(-K0_)(-E0_)
palitroque	(P-A0_)(L-I0_T)(R-O0_)(-K0_)(-E0_)
paliza	(P-A0_)(L-I0_)(Z-A0_)
palizada	(P-A0_)(L-I0_)(Z-A0_)(D-A0_)
pallar	(P-A0_LL)(-A0_R )
palle	(P-A0_LL)(-E0_)
pallete	(P-A0_LL)(-E0_)(T-E0_)
palma	(P-A0_L)(M-A0_)
palmaba	(P-A0_L)(M-A0_)(B-A0_)
palmaban	(P-A0_L)(M-A0_)(B-A0_N )
palmada	(P-A0_L)(M-A0_)(D-A0_)
palmado	(P-A0_L)(M-A0_)(D-O0_)
palmamos	(P-A0_L)(M-A0_)(M-O0_S )
palman	(P-A0_L)(M-A0_N )
palmando	(P-A0_L)(M-A0_N)(D-O0_)
palmar	(P-A0_L)(M-A0_R )
palmara	(P-A0_L)(M-A0_)(R-A0_)
palmaran	(P-A0_L)(M-A0_)(R-A0_N )
palmare	(P-A0_L)(M-A0_)(R-E0_)
palmaren	(P-A0_L)(M-A0_)(R-E0_N )
palmariamente	(P-A0_L)(M-A0_)(R-I0_)(-A0_)(M-E0_N)(T-E0_)
palmario	(P-A0_L)(M-A0_)(R-I0_)(-O0_)
palmaron	(P-A0_L)(M-A0_)(R-O0_N )
palmarse	(P-A0_L)(M-A0_R)(S-E0_)
palmará	(P-A0_L)(M-A0_)(R-A1_)
palmarán	(P-A0_L)(M-A0_)(R-A1_N )
palmarás	(P-A0_L)(M-A0_)(R-A1_S )
palmaré	(P-A0_L)(M-A0_)(R-E1_)
palmaría	(P-A0_L)(M-A0_)(R-I1_)(-A0_)
palmas	(P-A0_L)(M-A0_S )
palmase	(P-A0_L)(M-A0_)(S-E0_)
palmasen	(P-A0_L)(M-A0_)(S-E0_N )
palmaste	(P-A0_L)(M-A0_S)(T-E0_)
palmatoria	(P-A0_L)(M-A0_)(T-O0_)(R-I0_)(-A0_)
palme	(P-A0_L)(M-E0_)
palmear	(P-A0_L)(M-E0_)(-A0_R )
palmee	(P-A0_L)(M-E0_)(-E0_)
palmejar	(P-A0_L)(M-E0_X)(-A0_R )
palmemos	(P-A0_L)(M-E0_)(M-O0_S )
palmen	(P-A0_L)(M-E0_N )
palmenta	(P-A0_L)(M-E0_N)(T-A0_)
palmentero	(P-A0_L)(M-E0_N)(T-E0_)(R-O0_)
palmeral	(P-A0_L)(M-E0_)(R-A0_L )
palmero	(P-A0_L)(M-E0_)(R-O0_)
palmesano	(P-A0_L)(M-E0_)(S-A0_)(N-O0_)
palmeta	(P-A0_L)(M-E0_)(T-A0_)
palmiche	(P-A0_L)(M-I0_)(CH-E0_)
palmilla	(P-A0_L)(M-I0_LL)(-A0_)
palmitieso	(P-A0_L)(M-I0_)(T-I0_)(-E0_)(S-O0_)
palmito	(P-A0_L)(M-I0_)(T-O0_)
palmo	(P-A0_L)(M-O0_)
palmotear	(P-A0_L)(M-O0_)(T-E0_)(-A0_R )
palmotee	(P-A0_L)(M-O0_)(T-E0_)(-E0_)
palmáceo	(P-A0_L)(M-A1_)(S-E0_)(-O0_)
palmé	(P-A0_L)(M-E1_)
palmípedo	(P-A0_L)(M-I1_)(P-E0_)(D-O0_)
palmó	(P-A0_L)(M-O1_)
palo	(P-A0_)(L-O0_)
paloma	(P-A0_)(L-O0_)(M-A0_)
palomar	(P-A0_)(L-O0_)(M-A0_R )
palomariega	(P-A0_)(L-O0_)(M-A0_)(R-I0_)(-E0_)(G-A0_)
palomear	(P-A0_)(L-O0_)(M-E0_)(-A0_R )
palomee	(P-A0_)(L-O0_)(M-E0_)(-E0_)
palomero	(P-A0_)(L-O0_)(M-E0_)(R-O0_)
palometa	(P-A0_)(L-O0_)(M-E0_)(T-A0_)
palomino	(P-A0_)(L-O0_)(M-I0_)(N-O0_)
palomita	(P-A0_)(L-O0_)(M-I0_)(T-A0_)
palomo	(P-A0_)(L-O0_)(M-O0_)
palotada	(P-A0_)(L-O0_)(T-A0_)(D-A0_)
palote	(P-A0_)(L-O0_)(T-E0_)
palotear	(P-A0_)(L-O0_)(T-E0_)(-A0_R )
palotee	(P-A0_)(L-O0_)(T-E0_)(-E0_)
palpa	(P-A0_L)(P-A0_)
palpable	(P-A0_L)(P-A0_B)(L-E0_)
palpablemente	(P-A0_L)(P-A0_B)(L-E0_)(M-E0_N)(T-E0_)
palpación	(P-A0_L)(P-A0_)(S-I0_)(-O1_N )
palpadura	(P-A0_L)(P-A0_)(D-U0_)(R-A0_)
palpamiento	(P-A0_L)(P-A0_)(M-I0_)(-E0_N)(T-O0_)
palpan	(P-A0_L)(P-A0_N )
palpar	(P-A0_L)(P-A0_R )
palparle	(P-A0_L)(P-A0_R)(L-E0_)
palparlo	(P-A0_L)(P-A0_R)(L-O0_)
palparme	(P-A0_L)(P-A0_R)(M-E0_)
palparnos	(P-A0_L)(P-A0_R)(N-O0_S )
palparte	(P-A0_L)(P-A0_R)(T-E0_)
palpe	(P-A0_L)(P-E0_)
palpen	(P-A0_L)(P-E0_N )
palpitante	(P-A0_L)(P-I0_)(T-A0_N)(T-E0_)
palpitar	(P-A0_L)(P-I0_)(T-A0_R )
palpite	(P-A0_L)(P-I0_)(T-E0_)
palpo	(P-A0_L)(P-O0_)
palpándole	(P-A0_L)(P-A1_N)(D-O0_)(L-E0_)
palpándolo	(P-A0_L)(P-A1_N)(D-O0_)(L-O0_)
palpándome	(P-A0_L)(P-A1_N)(D-O0_)(M-E0_)
palpándomelo	(P-A0_L)(P-A1_N)(D-O0_)(M-E0_)(L-O0_)
palpándonos	(P-A0_L)(P-A1_N)(D-O0_)(N-O0_S )
palpándonoslo	(P-A0_L)(P-A1_N)(D-O0_)(N-O0_S)(L-O0_)
palpándoselo	(P-A0_L)(P-A1_N)(D-O0_)(S-E0_)(L-O0_)
palpándote	(P-A0_L)(P-A1_N)(D-O0_)(T-E0_)
palpándotelo	(P-A0_L)(P-A1_N)(D-O0_)(T-E0_)(L-O0_)
palpé	(P-A0_L)(P-E1_)
palpó	(P-A0_L)(P-O1_)
paludamento	(P-A0_)(L-U0_)(D-A0_)(M-E0_N)(T-O0_)
paludismo	(P-A0_)(L-U0_)(D-I0_S)(M-O0_)
palumbario	(P-A0_)(L-U0_M)(B-A0_)(R-I0_)(-O0_)
palurdo	(P-A0_)(L-U0_R)(D-O0_)
palustre	(P-A0_)(L-U0_S T)(R-E0_)
palíe	(P-A0_)(L-I1_)(-E0_)
palúdico	(P-A0_)(L-U1_)(D-I0_)(K-O0_)
pamela	(P-A0_)(M-E0_)(L-A0_)
pamema	(P-A0_)(M-E0_)(M-A0_)
pampa	(P-A0_M)(P-A0_)
pampanada	(P-A0_M)(P-A0_)(N-A0_)(D-A0_)
pampanaje	(P-A0_M)(P-A0_)(N-A0_X)(-E0_)
pampanilla	(P-A0_M)(P-A0_)(N-I0_LL)(-A0_)
pampeano	(P-A0_M)(P-E0_)(-A0_)(N-O0_)
pampear	(P-A0_M)(P-E0_)(-A0_R )
pampee	(P-A0_M)(P-E0_)(-E0_)
pampero	(P-A0_M)(P-E0_)(R-O0_)
pampino	(P-A0_M)(P-I0_)(N-O0_)
pampirolada	(P-A0_M)(P-I0_)(R-O0_)(L-A0_)(D-A0_)
pamplina	(P-A0_M P)(L-I0_)(N-A0_)
pamporcino	(P-A0_M)(P-O0_R)(S-I0_)(N-O0_)
pampringada	(P-A0_M P)(R-I0_NG)(G-A0_)(D-A0_)
pan	(P-A0_N )
pana	(P-A0_)(N-A0_)
panacea	(P-A0_)(N-A0_)(S-E0_)(-A0_)
panada	(P-A0_)(N-A0_)(D-A0_)
panadear	(P-A0_)(N-A0_)(D-E0_)(-A0_R )
panadee	(P-A0_)(N-A0_)(D-E0_)(-E0_)
panadero	(P-A0_)(N-A0_)(D-E0_)(R-O0_)
panadizo	(P-A0_)(N-A0_)(D-I0_)(Z-O0_)
panado	(P-A0_)(N-A0_)(D-O0_)
panal	(P-A0_)(N-A0_L )
panamericanismo	(P-A0_)(N-A0_)(M-E0_)(R-I0_)(K-A0_)(N-I0_S)(M-O0_)
panamericanista	(P-A0_)(N-A0_)(M-E0_)(R-I0_)(K-A0_)(N-I0_S)(T-A0_)
panamericano	(P-A0_)(N-A0_)(M-E0_)(R-I0_)(K-A0_)(N-O0_)
panameño	(P-A0_)(N-A0_)(M-E0_NY)(-O0_)
panamá	(P-A0_)(N-A0_)(M-A1_)
panamás	(P-A0_)(N-A0_)(M-A1_S )
panarizo	(P-A0_)(N-A0_)(R-I0_)(Z-O0_)
panatela	(P-A0_)(N-A0_)(T-E0_)(L-A0_)
panatier	(P-A0_)(N-A0_)(T-I0_)(-E0_R )
pancada	(P-A0_NG)(K-A0_)(D-A0_)
pancarpia	(P-A0_NG)(K-A0_R)(P-I0_)(-A0_)
pancarta	(P-A0_NG)(K-A0_R)(T-A0_)
pancera	(P-A0_N)(S-E0_)(R-A0_)
panceta	(P-A0_N)(S-E0_)(T-A0_)
pancho	(P-A0_N)(CH-O0_)
panco	(P-A0_NG)(K-O0_)
pancraciasta	(P-A0_NG K)(R-A0_)(S-I0_)(-A0_S)(T-A0_)
pancracio	(P-A0_NG K)(R-A0_)(S-I0_)(-O0_)
pancreático	(P-A0_NG K)(R-E0_)(-A1_)(T-I0_)(K-O0_)
panda	(P-A0_N)(D-A0_)
pandan	(P-A0_N)(D-A0_N )
pandar	(P-A0_N)(D-A0_R )
pande	(P-A0_N)(D-E0_)
pandear	(P-A0_N)(D-E0_)(-A0_R )
pandee	(P-A0_N)(D-E0_)(-E0_)
pandemónium	(P-A0_N)(D-E0_)(M-O1_)(N-I0_)(-U0_M )
panden	(P-A0_N)(D-E0_N )
pandeo	(P-A0_N)(D-E0_)(-O0_)
pandera	(P-A0_N)(D-E0_)(R-A0_)
panderada	(P-A0_N)(D-E0_)(R-A0_)(D-A0_)
pandereta	(P-A0_N)(D-E0_)(R-E0_)(T-A0_)
panderete	(P-A0_N)(D-E0_)(R-E0_)(T-E0_)
